statecode,countyname,bldg_count
AK,Aleutians East Borough,4
AK,Aleutians West Census Area,7
AK,Anchorage Municipality,3443
AK,Bethel Census Area,14
AK,Bristol Bay Borough,9
AK,Denali Borough,19
AK,Dillingham Census Area,8
AK,Fairbanks North Star Borough,521
AK,Haines Borough,17
AK,Hoonah-Angoon Census Area,10
AK,Juneau City and Borough,166
AK,Kenai Peninsula Borough,549
AK,Ketchikan Gateway Borough,87
AK,Kodiak Island Borough,37
AK,Kusilvak Census Area,1
AK,Lake and Peninsula Borough,3
AK,Matanuska-Susitna Borough,648
AK,Nome Census Area,8
AK,North Slope Borough,15
AK,Northwest Arctic Borough,4
AK,Petersburg Borough,11
AK,Prince of Wales-Hyder Census Area,11
AK,Sitka City and Borough,43
AK,Skagway Municipality,7
AK,Southeast Fairbanks Census Area,32
AK,Valdez-Cordova Census Area,53
AK,Wrangell City and Borough,7
AK,Yakutat City and Borough,2
AK,Yukon-Koyukuk Census Area,9
AL,Autauga County,348
AL,Baldwin County,3370
AL,Barbour County,183
AL,Bibb County,97
AL,Blount County,266
AL,Bullock County,44
AL,Butler County,188
AL,Calhoun County,1313
AL,Chambers County,210
AL,Cherokee County,136
AL,Chilton County,418
AL,Choctaw County,47
AL,Clarke County,182
AL,Clay County,47
AL,Cleburne County,76
AL,Coffee County,331
AL,Colbert County,799
AL,Conecuh County,72
AL,Coosa County,40
AL,Covington County,217
AL,Crenshaw County,73
AL,Cullman County,610
AL,Dale County,315
AL,Dallas County,300
AL,DeKalb County,314
AL,Elmore County,536
AL,Escambia County,309
AL,Etowah County,1057
AL,Fayette County,62
AL,Franklin County,161
AL,Geneva County,121
AL,Greene County,33
AL,Hale County,46
AL,Henry County,91
AL,Houston County,1308
AL,Jackson County,244
AL,Jefferson County,11937
AL,Lamar County,47
AL,Lauderdale County,735
AL,Lawrence County,109
AL,Lee County,1102
AL,Limestone County,431
AL,Lowndes County,45
AL,Macon County,78
AL,Madison County,4117
AL,Marengo County,153
AL,Marion County,182
AL,Marshall County,726
AL,Mobile County,7054
AL,Monroe County,102
AL,Montgomery County,4151
AL,Morgan County,1180
AL,Perry County,52
AL,Pickens County,57
AL,Pike County,256
AL,Randolph County,98
AL,Russell County,399
AL,Shelby County,2660
AL,St. Clair County,805
AL,Sumter County,50
AL,Talladega County,1184
AL,Tallapoosa County,256
AL,Tuscaloosa County,2257
AL,Walker County,452
AL,Washington County,50
AL,Wilcox County,35
AL,Winston County,117
AR,Arkansas County,120
AR,Ashley County,89
AR,Baxter County,523
AR,Benton County,3418
AR,Boone County,256
AR,Bradley County,70
AR,Calhoun County,25
AR,Carroll County,346
AR,Chicot County,49
AR,Clark County,187
AR,Clay County,70
AR,Cleburne County,309
AR,Cleveland County,31
AR,Columbia County,169
AR,Conway County,130
AR,Craighead County,1445
AR,Crawford County,435
AR,Crittenden County,743
AR,Cross County,80
AR,Dallas County,46
AR,Desha County,58
AR,Drew County,126
AR,Faulkner County,1528
AR,Franklin County,95
AR,Fulton County,33
AR,Garland County,1615
AR,Grant County,121
AR,Greene County,240
AR,Hempstead County,163
AR,Hot Spring County,218
AR,Howard County,71
AR,Independence County,175
AR,Izard County,46
AR,Jackson County,117
AR,Jefferson County,738
AR,Johnson County,257
AR,Lafayette County,41
AR,Lawrence County,90
AR,Lee County,30
AR,Lincoln County,31
AR,Little River County,56
AR,Logan County,100
AR,Lonoke County,862
AR,Madison County,46
AR,Marion County,136
AR,Miller County,305
AR,Mississippi County,386
AR,Monroe County,55
AR,Montgomery County,32
AR,Nevada County,34
AR,Newton County,16
AR,Ouachita County,190
AR,Perry County,37
AR,Phillips County,80
AR,Pike County,59
AR,Poinsett County,145
AR,Polk County,102
AR,Pope County,571
AR,Prairie County,23
AR,Pulaski County,8853
AR,Randolph County,75
AR,Saline County,1471
AR,Scott County,39
AR,Searcy County,35
AR,Sebastian County,2133
AR,Sevier County,56
AR,Sharp County,74
AR,St. Francis County,177
AR,Stone County,76
AR,Union County,272
AR,Van Buren County,86
AR,Washington County,3857
AR,White County,933
AR,Woodruff County,23
AR,Yell County,92
AZ,Apache County,146
AZ,Cochise County,1158
AZ,Coconino County,1199
AZ,Gila County,482
AZ,Graham County,164
AZ,Greenlee County,17
AZ,La Paz County,219
AZ,Maricopa County,45030
AZ,Mohave County,1840
AZ,Navajo County,614
AZ,Pima County,15141
AZ,Pinal County,2459
AZ,Santa Cruz County,346
AZ,Yavapai County,2196
AZ,Yuma County,1129
CA,Alameda County,32094
CA,Alpine County,14
CA,Amador County,331
CA,Butte County,3204
CA,Calaveras County,303
CA,Colusa County,163
CA,Contra Costa County,12167
CA,Del Norte County,240
CA,El Dorado County,2024
CA,Fresno County,13785
CA,Glenn County,291
CA,Humboldt County,1465
CA,Imperial County,1224
CA,Inyo County,151
CA,Kern County,8876
CA,Kings County,1428
CA,Lake County,574
CA,Lassen County,191
CA,Los Angeles County,175867
CA,Madera County,1581
CA,Marin County,4459
CA,Mariposa County,81
CA,Mendocino County,870
CA,Merced County,2970
CA,Modoc County,53
CA,Mono County,122
CA,Monterey County,5306
CA,Napa County,2506
CA,Nevada County,944
CA,Orange County,42663
CA,Placer County,4519
CA,Plumas County,278
CA,Riverside County,23501
CA,Sacramento County,18673
CA,San Benito County,772
CA,San Bernardino County,28247
CA,San Diego County,46896
CA,San Francisco County,23642
CA,San Joaquin County,8378
CA,San Luis Obispo County,4296
CA,San Mateo County,13789
CA,Santa Barbara County,6732
CA,Santa Clara County,27689
CA,Santa Cruz County,4073
CA,Shasta County,2046
CA,Sierra County,52
CA,Siskiyou County,433
CA,Solano County,4871
CA,Sonoma County,9660
CA,Stanislaus County,6700
CA,Sutter County,1018
CA,Tehama County,454
CA,Trinity County,83
CA,Tulare County,5525
CA,Tuolumne County,421
CA,Ventura County,10699
CA,Yolo County,2837
CA,Yuba County,634
CO,Adams County,5398
CO,Alamosa County,187
CO,Arapahoe County,6263
CO,Archuleta County,114
CO,Baca County,19
CO,Bent County,23
CO,Boulder County,4425
CO,Broomfield County,704
CO,Chaffee County,308
CO,Cheyenne County,9
CO,Clear Creek County,151
CO,Conejos County,30
CO,Costilla County,11
CO,Crowley County,12
CO,Custer County,81
CO,Delta County,334
CO,Denver County,13251
CO,Dolores County,19
CO,Douglas County,2190
CO,Eagle County,405
CO,El Paso County,9836
CO,Elbert County,113
CO,Fremont County,501
CO,Garfield County,475
CO,Gilpin County,68
CO,Grand County,261
CO,Gunnison County,189
CO,Hinsdale County,24
CO,Huerfano County,133
CO,Jackson County,12
CO,Jefferson County,5802
CO,Kiowa County,7
CO,Kit Carson County,67
CO,La Plata County,491
CO,Lake County,95
CO,Larimer County,4683
CO,Las Animas County,153
CO,Lincoln County,67
CO,Logan County,216
CO,Mesa County,1704
CO,Mineral County,17
CO,Moffat County,111
CO,Montezuma County,287
CO,Montrose County,453
CO,Morgan County,268
CO,Otero County,169
CO,Ouray County,70
CO,Park County,127
CO,Phillips County,15
CO,Pitkin County,231
CO,Prowers County,93
CO,Pueblo County,3012
CO,Rio Blanco County,64
CO,Rio Grande County,147
CO,Routt County,270
CO,Saguache County,28
CO,San Juan County,35
CO,San Miguel County,53
CO,Sedgwick County,20
CO,Summit County,383
CO,Teller County,403
CO,Washington County,22
CO,Weld County,3684
CO,Yuma County,47
CT,Fairfield County,11302
CT,Hartford County,15380
CT,Litchfield County,3029
CT,Middlesex County,2309
CT,New Haven County,11263
CT,New London County,4131
CT,Tolland County,1101
CT,Windham County,1121
DC,District of Columbia,13074
DE,Kent County,1842
DE,New Castle County,5711
DE,Sussex County,1899
FL,Alachua County,4235
FL,Baker County,236
FL,Bay County,5044
FL,Bradford County,239
FL,Brevard County,7358
FL,Broward County,26731
FL,Calhoun County,102
FL,Charlotte County,2373
FL,Citrus County,2266
FL,Clay County,1647
FL,Collier County,4393
FL,Columbia County,1619
FL,DeSoto County,400
FL,Dixie County,166
FL,Duval County,15376
FL,Escambia County,6482
FL,Flagler County,752
FL,Franklin County,226
FL,Gadsden County,964
FL,Gilchrist County,71
FL,Glades County,64
FL,Gulf County,147
FL,Hamilton County,73
FL,Hardee County,186
FL,Hendry County,576
FL,Hernando County,1408
FL,Highlands County,1560
FL,Hillsborough County,18188
FL,Holmes County,59
FL,Indian River County,1643
FL,Jackson County,485
FL,Jefferson County,380
FL,Lafayette County,23
FL,Lake County,4024
FL,Lee County,9730
FL,Leon County,6259
FL,Levy County,451
FL,Liberty County,27
FL,Madison County,436
FL,Manatee County,5129
FL,Marion County,4336
FL,Martin County,2048
FL,Miami-Dade County,36276
FL,Monroe County,1292
FL,Nassau County,1276
FL,Okaloosa County,3253
FL,Okeechobee County,405
FL,Orange County,15891
FL,Osceola County,2742
FL,Palm Beach County,15365
FL,Pasco County,5089
FL,Pinellas County,16762
FL,Polk County,7274
FL,Putnam County,968
FL,Santa Rosa County,1819
FL,Sarasota County,6879
FL,Seminole County,6189
FL,St Lucie County,1
FL,St. Johns County,2631
FL,St. Lucie County,3052
FL,Sumter County,829
FL,Suwannee County,489
FL,Taylor County,210
FL,Union County,45
FL,Volusia County,8635
FL,Wakulla County,531
FL,Walton County,672
FL,Washington County,131
GA,Appling County,73
GA,Atkinson County,32
GA,Bacon County,53
GA,Baker County,5
GA,Baldwin County,337
GA,Banks County,121
GA,Barrow County,882
GA,Bartow County,1355
GA,Ben Hill County,132
GA,Berrien County,98
GA,Bibb County,2572
GA,Bleckley County,56
GA,Brantley County,36
GA,Brooks County,125
GA,Bryan County,283
GA,Bulloch County,790
GA,Burke County,110
GA,Butts County,251
GA,Calhoun County,17
GA,Camden County,486
GA,Candler County,56
GA,Carroll County,1476
GA,Catoosa County,535
GA,Charlton County,51
GA,Chatham County,5944
GA,Chattahoochee County,22
GA,Chattooga County,126
GA,Cherokee County,2333
GA,Clarke County,1674
GA,Clay County,12
GA,Clayton County,3488
GA,Clinch County,42
GA,Cobb County,9818
GA,Coffee County,206
GA,Colquitt County,355
GA,Columbia County,1442
GA,Cook County,124
GA,Coweta County,1404
GA,Crawford County,32
GA,Crisp County,188
GA,Dade County,96
GA,Dawson County,285
GA,DeKalb County,8740
GA,Decatur County,180
GA,Dodge County,91
GA,Dooly County,68
GA,Dougherty County,1077
GA,Douglas County,1464
GA,Early County,35
GA,Echols County,6
GA,Effingham County,329
GA,Elbert County,160
GA,Emanuel County,88
GA,Evans County,66
GA,Fannin County,272
GA,Fayette County,1621
GA,Floyd County,955
GA,Forsyth County,2626
GA,Franklin County,218
GA,Fulton County,16639
GA,Gilmer County,234
GA,Glascock County,8
GA,Glynn County,1121
GA,Gordon County,551
GA,Grady County,109
GA,Greene County,166
GA,Gwinnett County,10209
GA,Habersham County,432
GA,Hall County,2977
GA,Hancock County,24
GA,Haralson County,287
GA,Harris County,87
GA,Hart County,207
GA,Heard County,43
GA,Henry County,2314
GA,Houston County,1158
GA,Irwin County,28
GA,Jackson County,599
GA,Jasper County,55
GA,Jeff Davis County,74
GA,Jefferson County,91
GA,Jenkins County,43
GA,Johnson County,41
GA,Jones County,126
GA,Lamar County,125
GA,Lanier County,34
GA,Laurens County,357
GA,Lee County,139
GA,Liberty County,488
GA,Lincoln County,46
GA,Long County,60
GA,Lowndes County,1946
GA,Lumpkin County,225
GA,Macon County,85
GA,Madison County,131
GA,Marion County,29
GA,McDuffie County,192
GA,McIntosh County,81
GA,Meriwether County,192
GA,Miller County,25
GA,Mitchell County,98
GA,Monroe County,146
GA,Montgomery County,42
GA,Morgan County,184
GA,Murray County,196
GA,Muscogee County,3182
GA,Newton County,995
GA,Oconee County,317
GA,Oglethorpe County,50
GA,Paulding County,787
GA,Peach County,237
GA,Pickens County,421
GA,Pierce County,81
GA,Pike County,69
GA,Polk County,388
GA,Pulaski County,79
GA,Putnam County,172
GA,Quitman County,12
GA,Rabun County,190
GA,Randolph County,25
GA,Richmond County,3815
GA,Rockdale County,1511
GA,Schley County,20
GA,Screven County,65
GA,Seminole County,44
GA,Spalding County,772
GA,Stephens County,365
GA,Stewart County,22
GA,Sumter County,222
GA,Talbot County,16
GA,Taliaferro County,9
GA,Tattnall County,89
GA,Taylor County,34
GA,Telfair County,76
GA,Terrell County,32
GA,Thomas County,1265
GA,Tift County,479
GA,Toombs County,264
GA,Towns County,119
GA,Treutlen County,28
GA,Troup County,693
GA,Turner County,117
GA,Twiggs County,25
GA,Union County,236
GA,Upson County,214
GA,Walker County,383
GA,Walton County,778
GA,Ware County,331
GA,Warren County,25
GA,Washington County,89
GA,Wayne County,288
GA,Webster County,3
GA,Wheeler County,25
GA,White County,306
GA,Whitfield County,787
GA,Wilcox County,21
GA,Wilkes County,80
GA,Wilkinson County,33
GA,Worth County,85
HI,Hawaii County,1425
HI,Honolulu County,9295
HI,Kauai County,524
HI,Maui County,1410
IA,Adair County,72
IA,Adams County,24
IA,Allamakee County,68
IA,Appanoose County,88
IA,Audubon County,26
IA,Benton County,110
IA,Black Hawk County,1298
IA,Boone County,223
IA,Bremer County,125
IA,Buchanan County,95
IA,Buena Vista County,164
IA,Butler County,81
IA,Calhoun County,51
IA,Carroll County,134
IA,Cass County,126
IA,Cedar County,113
IA,Cerro Gordo County,546
IA,Cherokee County,76
IA,Chickasaw County,64
IA,Clarke County,65
IA,Clay County,142
IA,Clayton County,133
IA,Clinton County,404
IA,Crawford County,95
IA,Dallas County,717
IA,Davis County,45
IA,Decatur County,52
IA,Delaware County,69
IA,Des Moines County,374
IA,Dickinson County,143
IA,Dubuque County,793
IA,Emmet County,74
IA,Fayette County,114
IA,Floyd County,116
IA,Franklin County,98
IA,Fremont County,82
IA,Greene County,71
IA,Grundy County,74
IA,Guthrie County,313
IA,Hamilton County,142
IA,Hancock County,106
IA,Hardin County,115
IA,Harrison County,116
IA,Henry County,114
IA,Howard County,70
IA,Humboldt County,56
IA,Ida County,29
IA,Iowa County,106
IA,Jackson County,102
IA,Jasper County,273
IA,Jefferson County,118
IA,Johnson County,1573
IA,Jones County,90
IA,Keokuk County,52
IA,Kossuth County,101
IA,Lee County,264
IA,Linn County,2936
IA,Louisa County,32
IA,Lucas County,66
IA,Lyon County,39
IA,Madison County,101
IA,Mahaska County,120
IA,Marion County,214
IA,Marshall County,316
IA,Mills County,227
IA,Mitchell County,63
IA,Monona County,80
IA,Monroe County,57
IA,Montgomery County,114
IA,Muscatine County,279
IA,O'Brien County,73
IA,Osceola County,30
IA,Page County,92
IA,Palo Alto County,61
IA,Plymouth County,126
IA,Pocahontas County,32
IA,Polk County,7272
IA,Pottawattamie County,1364
IA,Poweshiek County,148
IA,Ringgold County,23
IA,Sac County,39
IA,Scott County,2035
IA,Shelby County,85
IA,Sioux County,129
IA,Story County,1455
IA,Tama County,97
IA,Taylor County,26
IA,Union County,84
IA,Van Buren County,24
IA,Wapello County,220
IA,Warren County,350
IA,Washington County,115
IA,Wayne County,33
IA,Webster County,322
IA,Winnebago County,60
IA,Winneshiek County,89
IA,Woodbury County,1038
IA,Worth County,72
IA,Wright County,160
ID,Ada County,7843
ID,Adams County,57
ID,Bannock County,747
ID,Bear Lake County,42
ID,Benewah County,70
ID,Bingham County,214
ID,Blaine County,275
ID,Boise County,116
ID,Bonner County,880
ID,Bonneville County,1416
ID,Boundary County,134
ID,Butte County,20
ID,Camas County,15
ID,Canyon County,3273
ID,Caribou County,38
ID,Cassia County,542
ID,Clark County,8
ID,Clearwater County,51
ID,Custer County,38
ID,Elmore County,456
ID,Franklin County,51
ID,Fremont County,85
ID,Gem County,302
ID,Gooding County,308
ID,Idaho County,97
ID,Jefferson County,106
ID,Jerome County,435
ID,Kootenai County,3244
ID,Latah County,275
ID,Lemhi County,77
ID,Lewis County,32
ID,Lincoln County,100
ID,Madison County,284
ID,Minidoka County,452
ID,Nez Perce County,359
ID,Oneida County,16
ID,Owyhee County,162
ID,Payette County,498
ID,Power County,51
ID,Shoshone County,240
ID,Teton County,85
ID,Twin Falls County,2107
ID,Valley County,227
ID,Washington County,233
IL,Adams County,433
IL,Alexander County,18
IL,Bond County,113
IL,Boone County,318
IL,Brown County,14
IL,Bureau County,272
IL,Calhoun County,9
IL,Carroll County,113
IL,Cass County,49
IL,Champaign County,2076
IL,Christian County,215
IL,Clark County,83
IL,Clay County,80
IL,Clinton County,230
IL,Coles County,353
IL,Cook County,69853
IL,Crawford County,80
IL,Cumberland County,39
IL,De Witt County,83
IL,DeKalb County,1119
IL,Douglas County,122
IL,DuPage County,10901
IL,Edgar County,94
IL,Edwards County,26
IL,Effingham County,324
IL,Fayette County,151
IL,Ford County,91
IL,Franklin County,221
IL,Fulton County,162
IL,Gallatin County,16
IL,Greene County,46
IL,Grundy County,612
IL,Hamilton County,48
IL,Hancock County,83
IL,Hardin County,11
IL,Henderson County,8
IL,Henry County,245
IL,Iroquois County,216
IL,Jackson County,430
IL,Jasper County,34
IL,Jefferson County,356
IL,Jersey County,124
IL,Jo Daviess County,177
IL,Johnson County,45
IL,Kane County,5501
IL,Kankakee County,1181
IL,Kendall County,942
IL,Knox County,350
IL,LaSalle County,1228
IL,Lake County,6813
IL,Lawrence County,50
IL,Lee County,273
IL,Livingston County,253
IL,Logan County,187
IL,Macon County,1001
IL,Macoupin County,285
IL,Madison County,3161
IL,Marion County,237
IL,Marshall County,113
IL,Mason County,59
IL,Massac County,78
IL,McDonough County,219
IL,McHenry County,3459
IL,McLean County,1722
IL,Menard County,50
IL,Mercer County,84
IL,Monroe County,234
IL,Montgomery County,296
IL,Morgan County,188
IL,Moultrie County,60
IL,Ogle County,459
IL,Peoria County,2546
IL,Perry County,124
IL,Piatt County,80
IL,Pike County,70
IL,Pope County,5
IL,Pulaski County,21
IL,Putnam County,34
IL,Randolph County,192
IL,Richland County,81
IL,Rock Island County,1827
IL,Saline County,141
IL,Sangamon County,2092
IL,Schuyler County,23
IL,Scott County,11
IL,Shelby County,79
IL,St. Clair County,2897
IL,Stark County,28
IL,Stephenson County,306
IL,Tazewell County,1159
IL,Union County,79
IL,Vermilion County,552
IL,Wabash County,50
IL,Warren County,81
IL,Washington County,83
IL,Wayne County,61
IL,White County,57
IL,Whiteside County,397
IL,Will County,5968
IL,Williamson County,521
IL,Winnebago County,2901
IL,Woodford County,225
IN,Adams County,228
IN,Allen County,5227
IN,Bartholomew County,756
IN,Benton County,69
IN,Blackford County,107
IN,Boone County,800
IN,Brown County,107
IN,Carroll County,125
IN,Cass County,255
IN,Clark County,2294
IN,Clay County,175
IN,Clinton County,226
IN,Crawford County,45
IN,Daviess County,148
IN,DeKalb County,331
IN,Dearborn County,436
IN,Decatur County,216
IN,Delaware County,1460
IN,Dubois County,288
IN,Elkhart County,3957
IN,Fayette County,132
IN,Floyd County,1349
IN,Fountain County,67
IN,Franklin County,141
IN,Fulton County,149
IN,Gibson County,347
IN,Grant County,701
IN,Greene County,134
IN,Hamilton County,3052
IN,Hancock County,722
IN,Harrison County,395
IN,Hendricks County,1826
IN,Henry County,454
IN,Howard County,871
IN,Huntington County,292
IN,Jackson County,336
IN,Jasper County,231
IN,Jay County,132
IN,Jefferson County,229
IN,Jennings County,154
IN,Johnson County,1804
IN,Knox County,330
IN,Kosciusko County,758
IN,LaGrange County,206
IN,LaPorte County,1145
IN,Lake County,5776
IN,Lawrence County,305
IN,Madison County,1512
IN,Marion County,15422
IN,Marshall County,488
IN,Martin County,49
IN,Miami County,242
IN,Monroe County,1301
IN,Montgomery County,309
IN,Morgan County,758
IN,Newton County,129
IN,Noble County,364
IN,Ohio County,43
IN,Orange County,106
IN,Owen County,84
IN,Parke County,88
IN,Perry County,96
IN,Pike County,50
IN,Porter County,2053
IN,Posey County,137
IN,Pulaski County,64
IN,Putnam County,311
IN,Randolph County,172
IN,Ripley County,219
IN,Rush County,120
IN,Scott County,235
IN,Shelby County,506
IN,Spencer County,113
IN,St. Joseph County,4608
IN,Starke County,152
IN,Steuben County,429
IN,Sullivan County,116
IN,Switzerland County,41
IN,Tippecanoe County,1580
IN,Tipton County,99
IN,Union County,38
IN,Vanderburgh County,2872
IN,Vermillion County,89
IN,Vigo County,1082
IN,Wabash County,265
IN,Warren County,28
IN,Warrick County,601
IN,Washington County,196
IN,Wayne County,696
IN,Wells County,211
IN,White County,214
IN,Whitley County,276
KS,Allen County,100
KS,Anderson County,63
KS,Atchison County,149
KS,Barber County,48
KS,Barton County,237
KS,Bourbon County,141
KS,Brown County,87
KS,Butler County,477
KS,Chase County,15
KS,Chautauqua County,39
KS,Cherokee County,159
KS,Cheyenne County,21
KS,Clark County,9
KS,Clay County,34
KS,Cloud County,67
KS,Coffey County,74
KS,Comanche County,10
KS,Cowley County,238
KS,Crawford County,330
KS,Decatur County,13
KS,Dickinson County,128
KS,Doniphan County,56
KS,Douglas County,1698
KS,Edwards County,12
KS,Elk County,14
KS,Ellis County,262
KS,Ellsworth County,35
KS,Finney County,387
KS,Ford County,261
KS,Franklin County,265
KS,Geary County,421
KS,Gove County,15
KS,Graham County,14
KS,Grant County,45
KS,Gray County,30
KS,Greeley County,2
KS,Greenwood County,39
KS,Hamilton County,11
KS,Harper County,55
KS,Harvey County,300
KS,Haskell County,6
KS,Hodgeman County,5
KS,Jackson County,51
KS,Jefferson County,96
KS,Jewell County,12
KS,Johnson County,6951
KS,Kearny County,14
KS,Kingman County,62
KS,Kiowa County,24
KS,Labette County,188
KS,Lane County,11
KS,Leavenworth County,519
KS,Lincoln County,17
KS,Linn County,78
KS,Logan County,22
KS,Lyon County,254
KS,Marion County,82
KS,Marshall County,75
KS,McPherson County,168
KS,Meade County,24
KS,Miami County,313
KS,Mitchell County,45
KS,Montgomery County,324
KS,Morris County,31
KS,Morton County,12
KS,Nemaha County,58
KS,Neosho County,137
KS,Ness County,16
KS,Norton County,23
KS,Osage County,100
KS,Osborne County,21
KS,Ottawa County,19
KS,Pawnee County,34
KS,Phillips County,30
KS,Pottawatomie County,131
KS,Pratt County,93
KS,Rawlins County,30
KS,Reno County,539
KS,Republic County,39
KS,Rice County,53
KS,Riley County,384
KS,Rooks County,25
KS,Rush County,18
KS,Russell County,52
KS,Saline County,483
KS,Scott County,40
KS,Sedgwick County,8541
KS,Seward County,175
KS,Shawnee County,2544
KS,Sheridan County,4
KS,Sherman County,62
KS,Smith County,32
KS,Stafford County,20
KS,Stanton County,5
KS,Stevens County,23
KS,Sumner County,212
KS,Thomas County,96
KS,Trego County,26
KS,Wabaunsee County,30
KS,Wallace County,6
KS,Washington County,26
KS,Wichita County,10
KS,Wilson County,63
KS,Woodson County,28
KS,Wyandotte County,2736
KY,Adair County,87
KY,Allen County,74
KY,Anderson County,208
KY,Ballard County,34
KY,Barren County,370
KY,Bath County,32
KY,Bell County,94
KY,Boone County,1950
KY,Bourbon County,196
KY,Boyd County,1190
KY,Boyle County,410
KY,Bracken County,40
KY,Breathitt County,35
KY,Breckinridge County,74
KY,Bullitt County,677
KY,Butler County,56
KY,Caldwell County,62
KY,Calloway County,205
KY,Campbell County,1499
KY,Carlisle County,12
KY,Carroll County,91
KY,Carter County,274
KY,Casey County,27
KY,Christian County,409
KY,Clark County,392
KY,Clay County,45
KY,Clinton County,36
KY,Crittenden County,29
KY,Cumberland County,30
KY,Daviess County,732
KY,Edmonson County,32
KY,Elliott County,12
KY,Estill County,65
KY,Fayette County,5093
KY,Fleming County,30
KY,Floyd County,151
KY,Franklin County,704
KY,Fulton County,47
KY,Gallatin County,51
KY,Garrard County,52
KY,Grant County,232
KY,Graves County,148
KY,Grayson County,153
KY,Green County,38
KY,Greenup County,473
KY,Hancock County,25
KY,Hardin County,1164
KY,Harlan County,75
KY,Harrison County,75
KY,Hart County,133
KY,Henderson County,299
KY,Henry County,143
KY,Hickman County,12
KY,Hopkins County,241
KY,Jackson County,42
KY,Jefferson County,14090
